Designator,Mid X,Mid Y,Layer,Rotation
C1,190.156000mm,-126.936500mm,Top,180
C2,131.762500mm,-139.518500mm,Top,90
C3,193.521500mm,-125.412500mm,Top,0
C4,193.511000mm,-126.936500mm,Top,0
C5,136.334500mm,-144.575521mm,Top,270
C6,131.762500mm,-145.614500mm,Top,270
C7,166.574900mm,-140.947300mm,Top,270
C8,164.974900mm,-140.940800mm,Top,270
C9,169.710100mm,-109.968200mm,Top,270
C10,177.432800mm,-122.085100mm,Top,180
C11,182.282000mm,-122.085100mm,Top,0
C12,185.863400mm,-122.085100mm,Top,180
C13,190.943400mm,-122.085100mm,Top,0
C14,176.605800mm,-120.103900mm,Top,180
C15,181.660400mm,-120.103900mm,Top,0
C16,186.677300mm,-120.103900mm,Top,180
C17,191.745000mm,-120.103900mm,Top,0
C18,172.731600mm,-133.540500mm,Top,180
D1,193.484500mm,-149.242500mm,Top,270
D2,156.604500mm,-109.288500mm,Top,90
D3,157.283000mm,-141.900900mm,Top,180
D4,162.593000mm,-141.900900mm,Top,0
D5,159.883000mm,-141.900900mm,Top,180
D6,154.876500mm,-144.564100mm,Top,270
F1,143.546500mm,-85.283500mm,Top,270
F2,143.546500mm,-95.413500mm,Top,270
F3,178.092100mm,-86.550500mm,Top,90
F4,183.070500mm,-86.550500mm,Top,90
F5,188.099700mm,-86.550500mm,Top,90
F6,193.128900mm,-86.550500mm,Top,90
G1,129.596500mm,-70.813500mm,Top,0
G2,156.706500mm,-112.673500mm,Top,270
J1,170.700700mm,-141.719300mm,Top,90
J2,145.500100mm,-78.977099mm,Top,180
J3,143.009300mm,-138.603500mm,Top,0
J4,143.009300mm,-145.580100mm,Top,0
J5,155.080500mm,-119.965500mm,Top,180
J6,184.442100mm,-149.161500mm,Top,90
J7,150.558500mm,-144.538700mm,Top,0
J8,161.273000mm,-148.000900mm,Top,0
J9,153.733500mm,-140.708300mm,Top,180
J10,169.146500mm,-78.953500mm,Top,180
J11,160.026500mm,-118.314500mm,Top,0
J12,193.106500mm,-78.913499mm,Top,180
J13,178.955700mm,-125.082300mm,Top,90
K1,153.572800mm,-92.850598mm,Top,90
K2,158.970300mm,-92.831099mm,Top,90
K3,164.518000mm,-92.831099mm,Top,90
K4,169.915500mm,-92.831099mm,Top,90
PS1,139.136100mm,-119.443500mm,Top,0
Q1,163.796500mm,-130.236000mm,Top,270
Q2,160.336500mm,-130.246000mm,Top,270
R1,172.781600mm,-139.128500mm,Top,0
R2,172.781600mm,-137.604500mm,Top,0
R3,190.168500mm,-125.412500mm,Top,0
R4,191.407500mm,-149.242500mm,Top,90
R5,154.064500mm,-109.297500mm,Top,90
R6,171.376500mm,-149.243500mm,Top,0
R7,165.978000mm,-138.458900mm,Top,180
R8,165.978000mm,-136.934900mm,Top,0
R9,169.009000mm,-146.513500mm,Top,0
R10,155.086500mm,-147.926000mm,Top,270
R11,153.806500mm,-134.135500mm,Top,270
R12,165.978000mm,-135.410900mm,Top,0
R13,180.578000mm,-148.272500mm,Top,180
R14,180.578000mm,-150.304500mm,Top,180
R15,161.229000mm,-133.575500mm,Top,180
R16,156.406500mm,-139.465500mm,Top,270
R17,177.154200mm,-114.795300mm,Top,0
R18,181.523000mm,-114.795300mm,Top,180
R19,188.326400mm,-114.795300mm,Top,0
R20,192.695200mm,-114.795300mm,Top,180
R21,161.984000mm,-125.983500mm,Top,180
R22,161.984000mm,-127.513500mm,Top,0
R23,178.117500mm,-103.087900mm,Top,270
R24,183.070500mm,-103.087900mm,Top,270
R25,188.099700mm,-103.087900mm,Top,270
R26,193.128900mm,-103.087900mm,Top,270
R27,178.117500mm,-95.036100mm,Top,270
R28,183.070500mm,-95.036100mm,Top,270
R29,188.099700mm,-95.036100mm,Top,270
R30,193.128900mm,-95.036100mm,Top,270
RV1,128.386500mm,-94.623500mm,Top,0
SW1,168.416500mm,-127.903500mm,Top,90
SW2,155.706500mm,-127.933500mm,Top,270
U1,129.222500mm,-145.605500mm,Top,90
U2,185.610500mm,-137.486500mm,Top,270
U3,160.983000mm,-137.940900mm,Top,90
U4,163.716500mm,-111.583500mm,Top,90
U5,183.172100mm,-109.639100mm,Top,270
U6,194.348100mm,-109.639100mm,Top,270
U7,173.393100mm,-135.584000mm,Top,90
