Comment,Designator,Footprint,LCSC Part #
100nF Polarized capacitor  small symbol,"C1,C4,C5,C9,C14,C19",Capacitor_SMD,C14663
NC Polarized capacitor  small symbol,C2,Capacitor_SMD,
22uF Unpolarized capacitor  small symbol,"C3,C15,C16,C17,C18",Capacitor_SMD,C59461
NC Polarized capacitor  small symbol,"C6,C7,C10,C11,C20",Capacitor_SMD,
10uF Polarized capacitor  small symbol,C8,Capacitor_THT,
20p Unpolarized capacitor  small symbol,"C12,C13",Capacitor_SMD,C1648
LED Light emitting diode,"D1,D2",LED_SMD,C2297
BAT60A 10V 3A High Current Recitifier Schottky Diode  SOD-323,D3,Diode_SMD,C124187
LED Light emitting diode,"D4,D5,D6,D7",LED_SMD,C72041
250V500mA Fuse,F1,Fuse,
Fuse Fuse,"F2,F3,F4,F5,F6,F7,F8,F9",RST-80-AMMO,
MountingHole_Pad Mounting Hole with connection,"H1,H2,H3",MountingHole,
GND|5V Generic connector  single row  01x02  script generated (k,J1,Connector_JST,
2604-1102 ,J2,wago-2604-1102,
I2C Generic connector  single row  01x02  script generated (kica,J3,Connector_PinHeader_2.54mm,
13|12 Generic connector  single row  01x02  script generated (ki,J4,Connector_PinHeader_2.54mm,
9|3|16 Generic connector  single row  01x03  script generated (k,J5,Connector_PinHeader_2.54mm,
GND|3.3V Generic connector  single row  01x02  script generated ,J6,Connector_JST,
Current Jumper Generic connector  single row  01x02  script gene,J7,Connector_PinHeader_2.54mm,
EspRelays Generic connector  single row  01x04  script generated,J8,Connector_PinSocket_2.54mm,
2604-1104 ,"J9,J12",wago-2604-1104,
Serial Generic connector  single row  01x02  script generated (k,J10,Connector_PinHeader_2.54mm,
USB_C_Receptacle_USB2.0 USB 2.0-only Type-C Receptacle connector,J11,Connector_USB,C167321
EspSense Generic connector  single row  01x04  script generated ,J13,Connector_PinSocket_2.54mm,
AQG12205 Solid State Relays - PCB Mount 1A 5V Random Non-Zero Cr,"K1,K2,K3,K4",AQG12205,
NetTie_2 Net tie  2 pins,NT1,NetTie,
RAC05-05SK/277 ,PS1,rac05-05sk,
10k Resistor,"R1,R6,R7,R11,R12,R13,R14",Resistor_SMD,C25804
100 Resistor,"R2,R5",Resistor_SMD,C17408
22 Resistor  small symbol,"R3,R4",Resistor_SMD,C23345
150k1w Resistor,"R8,R15,R16,R17,R18,R19,R20,R21,R22",Resistor_SMD,C25719
5.1k Resistor,"R9,R10",Resistor_SMD,C23186
100 Resistor,"R23,R24,R25,R26",Resistor_SMD,C22775
400V Voltage dependent resistor,RV1,Varistor,
Switch Push button switch  generic  two pins,"SW1,SW2",Button_Switch_SMD,C318884
USB | PS Switch  dual pole double throw  separate symbols,SW3,Connector_PinHeader_2.54mm,
GND test point (alternative probe-style design),TP1,TestPoint,
LD1117AV33 800mA Fixed Low Drop Positive Voltage Regulator  Fixe,U1,Package_TO_SOT_THT,
ESP32-S3-WROOM-2 2.4 GHz WiFi (802.11 b/g/n) and Bluetooth  5 (,U2,Espressif,
ULN2003A High Voltage  High Current Darlington Transistor Arrays,U3,Package_SO,C7512
USBLC6-2SC6 Very low capacitance ESD protection diode  2 data-li,U4,Package_TO_SOT_SMD,C2827654
LDA210-PDIP DC Darlington Optocoupler  Vce 35V  CTR 600%  SO-4,"U5,U6",Package_DIP,
SHT4x Temperature and humidity module,U7,sht40,C2909890
